relation,sex,age_code,job_type,start_type,start_time_num_6,start_zcode_num,act_num,mode_num,trip_time_num_6,end_type,end_zcode_num,Cluster
1,1,5,2,0.0,203,11.0,0.0,1.0,37,0.0,11.0,7
2,0,0,0,4.0,151,56.0,4.0,2.0,12,4.0,56.0,1
1,1,4,1,0.0,100,50.0,1.0,8.0,3,4.0,50.0,7
0,0,10,7,1.0,64,15.0,2.0,2.0,119,1.0,15.0,4
2,0,0,0,4.0,174,22.0,4.0,2.0,11,4.0,22.0,1
2,0,1,0,0.0,78,36.0,1.0,3.0,3,2.0,36.0,9
2,1,3,0,2.0,100,39.0,3.0,2.0,60,2.0,39.0,6
1,1,8,8,1.0,85,15.0,2.0,2.0,75,1.0,15.0,7
0,0,7,7,1.0,177,45.0,1.0,5.0,13,0.0,35.0,4
0,0,6,5,1.0,210,16.0,1.0,5.0,15,0.0,41.0,8
2,1,1,0,0.0,0,22.0,0.0,0.0,73,0.0,22.0,6
1,1,7,3,0.0,0,15.0,0.0,0.0,80,0.0,15.0,7
2,0,2,0,2.0,167,4.0,1.0,4.0,6,0.0,6.0,1
0,0,11,7,0.0,0,4.0,0.0,0.0,70,0.0,4.0,4
2,1,3,5,1.0,182,43.0,1.0,4.0,2,0.0,43.0,6
2,1,0,0,0.0,80,73.0,1.0,3.0,5,2.0,73.0,2
4,0,0,0,4.0,152,12.0,4.0,2.0,28,4.0,12.0,1
0,0,10,8,4.0,168,0.0,8.0,2.0,9,4.0,0.0,8
4,1,0,0,0.0,0,17.0,0.0,0.0,75,0.0,17.0,2
1,1,10,1,0.0,105,22.0,1.0,5.0,5,4.0,22.0,7
2,0,3,5,1.0,190,5.0,1.0,4.0,10,0.0,44.0,0
2,0,1,0,0.0,77,66.0,1.0,3.0,3,2.0,66.0,9
2,0,5,4,0.0,70,42.0,1.0,4.0,7,1.0,5.0,0
0,0,7,3,0.0,0,26.0,0.0,0.0,80,0.0,26.0,4
1,1,8,3,0.0,80,46.0,1.0,6.0,5,1.0,43.0,7
1,0,4,7,0.0,195,40.0,0.0,1.0,45,0.0,40.0,0
1,1,8,4,0.0,221,69.0,0.0,1.0,19,0.0,69.0,7
1,1,6,1,0.0,110,69.0,1.0,4.0,2,4.0,69.0,7
1,0,7,2,4.0,122,18.0,5.0,2.0,6,4.0,18.0,4
1,1,6,1,0.0,0,51.0,0.0,0.0,90,0.0,51.0,7
2,1,3,8,0.0,207,55.0,0.0,1.0,33,0.0,55.0,6
0,0,7,2,0.0,0,48.0,0.0,0.0,80,0.0,48.0,4
1,1,5,8,4.0,137,51.0,6.0,2.0,56,4.0,51.0,7
0,0,8,4,1.0,83,8.0,2.0,2.0,7,1.0,8.0,5
